Area of Residence,Total Original Medicare Part A and/or Part B Enrollees,Total Medicare Part A and/or Part B Persons With Utilization,Total Medicare Part A and/or Part B Program Payments,Medicare Part A and/or Part B Program Payments Per Person With Utilization,Medicare Part A and/or Part B Program Payments Per Original Medicare Enrollee,Total Original Medicare Part A Enrollees,Total Medicare Part A Persons With Utilization,Total Medicare Part A Program Payments,Medicare Part A Program Payments Per Person With Utilization,Medicare Part A Program Payments Per Original Medicare Enrollee,Total Original Medicare Part B Enrollees,Total Medicare Part B Persons With Utilization,Total Medicare Part B Program Payments,Medicare Part B Program Payments Per Person With Utilization,Medicare Part B Program Payments Per Original Medicare Enrollee,Total Beneficiary Cost Sharing,Beneficiary Cost Sharing Per Person With Utilization,Beneficiary Cost Sharing Per Original Medicare Enrollee,Discharged Dead
Ohio,"1,227,265","1,180,834","13,045,771,320","11,048","10,630","1,225,316","259,740","6,579,960,614","25,333","5,370","1,057,718","1,158,833","6,465,810,706","5,580","6,113","2,131,881,782","1,805","1,737","73,983"
Oklahoma,"528,377","492,453","5,988,040,719","12,160","11,333","528,109","107,585","2,852,468,336","26,514","5,401","462,960","483,633","3,135,572,383","6,483","6,773","937,635,961","1,904","1,775","26,115"
Oregon,"459,062","412,891","3,952,432,859","9,573","8,610","458,526","70,798","1,784,212,918","25,201","3,891","389,676","402,480","2,168,219,941","5,387","5,564","695,173,785","1,684","1,514","22,569"
Pennsylvania,"1,493,883","1,393,506","15,821,015,593","11,353","10,591","1,481,205","292,286","7,640,779,360","26,141","5,158","1,268,419","1,367,393","8,180,236,233","5,982","6,449","2,527,602,010","1,814","1,692","74,782"
Rhode Island,"111,983","101,231","1,090,410,347","10,772","9,737","109,984","21,390","544,813,057","25,470","4,954","88,713","98,511","545,597,290","5,538","6,150","166,506,243","1,645","1,487","6,053"
South Carolina,"712,041","690,388","7,303,580,438","10,579","10,257","707,164","126,642","3,190,808,841","25,196","4,512","643,967","680,027","4,112,771,597","6,048","6,387","1,212,504,973","1,756","1,703","32,523"
South Dakota,"136,475","151,688","1,555,704,395","10,256","11,399","136,409","26,258","674,408,947","25,684","4,944","121,897","150,411","881,295,447","5,859","7,230","299,817,726","1,977","2,197","4,744"
Tennessee,"766,844","732,420","7,583,702,280","10,354","9,889","763,609","146,864","3,408,835,879","23,211","4,464","670,104","716,924","4,174,866,401","5,823","6,230","1,290,621,642","1,762","1,683","40,858"
Texas,"2,347,931","2,119,870","28,089,834,378","13,251","11,964","2,343,348","471,057","13,915,058,282","29,540","5,938","1,975,392","2,069,558","14,174,776,096","6,849","7,176","4,216,899,485","1,989","1,796","125,571"
Utah,"242,369","220,690","2,369,071,426","10,735","9,775","239,499","42,192","1,038,107,002","24,604","4,334","204,517","215,083","1,330,964,424","6,188","6,508","383,690,728","1,739","1,583","11,567"
Vermont,"124,384","114,169","1,145,092,454","10,030","9,206","124,291","18,025","526,765,808","29,224","4,238","111,678","113,141","618,326,645","5,465","5,537","214,220,119","1,876","1,722","3,863"
Virginia,"1,112,731","1,016,486","10,542,973,901","10,372","9,475","1,107,790","184,419","4,690,162,397","25,432","4,234","960,543","999,474","5,852,811,504","5,856","6,093","1,779,342,468","1,750","1,599","43,725"
Washington,"865,220","775,317","7,559,019,903","9,750","8,737","863,450","122,873","3,290,191,565","26,777","3,811","739,310","763,020","4,268,828,338","5,595","5,774","1,348,009,639","1,739","1,558","32,604"
West Virginia,"254,195","255,668","2,671,150,063","10,448","10,508","254,051","53,694","1,328,906,844","24,750","5,231","225,144","251,138","1,342,243,219","5,345","5,962","462,165,471","1,808","1,818","13,582"
Wisconsin,"622,437","633,184","6,356,566,138","10,039","10,212","622,134","119,693","2,996,655,124","25,036","4,817","546,260","624,176","3,359,911,014","5,383","6,151","1,156,358,068","1,826","1,858","33,272"
Wyoming,"110,505","102,034","1,102,331,666","10,804","9,975","110,376","16,114","492,503,596","30,564","4,462","101,463","101,392","609,828,070","6,015","6,010","205,350,152","2,013","1,858","3,110"
"Territories, Possessions, and Other",,,,,,,,,,,,,,,,,,,
Puerto Rico,"138,182","68,185","$490,661,310","$7,196","$3,551","137,910","23,037","$325,985,467","$14,151","$2,364","40,954","54,613","$164,675,843","$3,015","$4,021","$64,503,931",$946,$467,"7,746"
Virgin Islands,"14,753","11,957","79,831,014","6,677","5,411","14,575","1,377","41,098,829","29,847","2,820","12,954","11,803","38,732,185","3,282","2,990","15,112,511","1,264","1,024",344
American Samoa,"4,465","1,866","16,657,728","8,927","3,731","4,465",385,"6,085,055","15,805","1,363","2,511","1,772","10,572,673","5,967","4,211","3,587,306","1,922",803,50
Guam,"18,082","10,883","129,455,885","11,895","7,159","17,922","1,969","71,041,702","36,080","3,964","12,440","10,529","58,414,183","5,548","4,696","20,895,858","1,920","1,156",329
Northern Mariana Islands,"2,788","1,674","18,857,905","11,265","6,764","2,759",280,"7,456,096","26,629","2,703","2,091","1,634","11,401,809","6,978","5,453","3,765,598","2,249","1,351",35
Foreign Countries,"496,487","7,184","44,232,070","6,157",89,"496,290",975,"30,110,572","30,883",61,"44,758","6,651","14,121,498","2,123",316,"5,389,434",750,11,179
