state_code,state_name,year,income_group,beneficiaries,cms_cost_per_utilizer,median_income,affordability_index_pct
KY,Kentucky,2024,Nonfamily_Male_alone,536961,10255.0,255784.0,4.01
LA,Louisiana,2024,65plus,473575,11995.0,529134.0,2.27
LA,Louisiana,2024,Family4,473575,11995.0,194429.0,6.17
LA,Louisiana,2024,Female_no_spouse_kids,473575,11995.0,149620.0,8.02
LA,Louisiana,2024,Male_no_spouse_kids,473575,11995.0,46952.0,25.55
LA,Louisiana,2024,Married_with_kids,473575,11995.0,275386.0,4.36
LA,Louisiana,2024,Nonfamily_Female_alone,473575,11995.0,324161.0,3.7
LA,Louisiana,2024,Nonfamily_Male_alone,473575,11995.0,263213.0,4.56
MA,Massachusetts,2024,65plus,973092,12871.0,823493.0,1.56
MA,Massachusetts,2024,Family4,973092,12871.0,343232.0,3.75
MA,Massachusetts,2024,Female_no_spouse_kids,973092,12871.0,156265.0,8.24
MA,Massachusetts,2024,Male_no_spouse_kids,973092,12871.0,57576.0,22.35
MA,Massachusetts,2024,Married_with_kids,973092,12871.0,473236.0,2.72
MA,Massachusetts,2024,Nonfamily_Female_alone,973092,12871.0,470191.0,2.74
MA,Massachusetts,2024,Nonfamily_Male_alone,973092,12871.0,350003.0,3.68
MD,Maryland,2024,65plus,898929,13722.0,677874.0,2.02
MD,Maryland,2024,Family4,898929,13722.0,283158.0,4.85
MD,Maryland,2024,Female_no_spouse_kids,898929,13722.0,142819.0,9.61
MD,Maryland,2024,Male_no_spouse_kids,898929,13722.0,52160.0,26.31
MD,Maryland,2024,Married_with_kids,898929,13722.0,428454.0,3.2
MD,Maryland,2024,Nonfamily_Female_alone,898929,13722.0,422251.0,3.25
MD,Maryland,2024,Nonfamily_Male_alone,898929,13722.0,287733.0,4.77
ME,Maine,2024,65plus,187420,10016.0,208234.0,4.81
ME,Maine,2024,Family4,187420,10016.0,54271.0,18.46
ME,Maine,2024,Female_no_spouse_kids,187420,10016.0,24948.0,40.15
ME,Maine,2024,Male_no_spouse_kids,187420,10016.0,12386.0,80.87
ME,Maine,2024,Married_with_kids,187420,10016.0,86733.0,11.55
ME,Maine,2024,Nonfamily_Female_alone,187420,10016.0,105777.0,9.47
ME,Maine,2024,Nonfamily_Male_alone,187420,10016.0,82776.0,12.1
MI,Michigan,2024,65plus,1024125,11315.0,1269464.0,0.89
MI,Michigan,2024,Family4,1024125,11315.0,429095.0,2.64
